IDX,54Vgrow, 12Vgrow, Quantum
0, 70, 24, 136
1, 24, 7, 49
2, 35, 13, 77
3, 15, 4, 34
4, 49, 21, 105
5, 17, 5, 37
6, 37, 13, 76
7, 25, 7, 50
8, 38, 13, 76
9, 15, 3, 30
10, 46, 15, 88
11, 16, 3, 31
12, 35, 13, 77
13, 40, 14, 82
14, 40, 15, 79







